"REF_DATE","GEO","DGUID","Prices","Estimates","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1996","Canada","2016A000011124","Chained (2012) dollars","Goods","Dollars","81","millions","6","v62787254","1.1.3","273562","","","","0"
"1997","Canada","2016A000011124","Chained (2012) dollars","Goods","Dollars","81","millions","6","v62787254","1.1.3","287540","","","","0"
"1998","Canada","2016A000011124","Chained (2012) dollars","Goods","Dollars","81","millions","6","v62787254","1.1.3","297128","","","","0"
"1999","Canada","2016A000011124","Chained (2012) dollars","Goods","Dollars","81","millions","6","v62787254","1.1.3","310015","","","","0"
"2000","Canada","2016A000011124","Chained (2012) dollars","Goods","Dollars","81","millions","6","v62787254","1.1.3","323481","","","","0"
"2001","Canada","2016A000011124","Chained (2012) dollars","Goods","Dollars","81","millions","6","v62787254","1.1.3","330901","","","","0"
"2002","Canada","2016A000011124","Chained (2012) dollars","Goods","Dollars","81","millions","6","v62787254","1.1.3","346541","","","","0"
"2003","Canada","2016A000011124","Chained (2012) dollars","Goods","Dollars","81","millions","6","v62787254","1.1.3","355812","","","","0"
"2004","Canada","2016A000011124","Chained (2012) dollars","Goods","Dollars","81","millions","6","v62787254","1.1.3","364737","","","","0"
"2005","Canada","2016A000011124","Chained (2012) dollars","Goods","Dollars","81","millions","6","v62787254","1.1.3","375294","","","","0"
"2006","Canada","2016A000011124","Chained (2012) dollars","Goods","Dollars","81","millions","6","v62787254","1.1.3","390403","","","","0"
"2007","Canada","2016A000011124","Chained (2012) dollars","Goods","Dollars","81","millions","6","v62787254","1.1.3","408096","","","","0"
"2008","Canada","2016A000011124","Chained (2012) dollars","Goods","Dollars","81","millions","6","v62787254","1.1.3","420698","","","","0"
"2009","Canada","2016A000011124","Chained (2012) dollars","Goods","Dollars","81","millions","6","v62787254","1.1.3","418245","","","","0"
"2010","Canada","2016A000011124","Chained (2012) dollars","Goods","Dollars","81","millions","6","v62787254","1.1.3","431718","","","","0"
"2011","Canada","2016A000011124","Chained (2012) dollars","Goods","Dollars","81","millions","6","v62787254","1.1.3","437872","","","","0"
"2012","Canada","2016A000011124","Chained (2012) dollars","Goods","Dollars","81","millions","6","v62787254","1.1.3","444633","","","","0"
"2013","Canada","2016A000011124","Chained (2012) dollars","Goods","Dollars","81","millions","6","v62787254","1.1.3","458094","","","","0"
"2014","Canada","2016A000011124","Chained (2012) dollars","Goods","Dollars","81","millions","6","v62787254","1.1.3","471589","","","","0"
"2015","Canada","2016A000011124","Chained (2012) dollars","Goods","Dollars","81","millions","6","v62787254","1.1.3","482358","","","","0"
"2016","Canada","2016A000011124","Chained (2012) dollars","Goods","Dollars","81","millions","6","v62787254","1.1.3","491583","","","","0"
"2017","Canada","2016A000011124","Chained (2012) dollars","Goods","Dollars","81","millions","6","v62787254","1.1.3","512704","","","","0"
"2018","Canada","2016A000011124","Chained (2012) dollars","Goods","Dollars","81","millions","6","v62787254","1.1.3","526215","","","","0"
"2019","Canada","2016A000011124","Chained (2012) dollars","Goods","Dollars","81","millions","6","v62787254","1.1.3","530454","","","","0"
"2020","Canada","2016A000011124","Chained (2012) dollars","Goods","Dollars","81","millions","6","v62787254","1.1.3","525007","","","","0"
"1990","Canada","2016A000011124","Chained (2012) dollars","Durable goods","Dollars","81","millions","6","v62787255","1.1.4","52075","","","","0"
"1991","Canada","2016A000011124","Chained (2012) dollars","Durable goods","Dollars","81","millions","6","v62787255","1.1.4","50173","","","","0"
"1992","Canada","2016A000011124","Chained (2012) dollars","Durable goods","Dollars","81","millions","6","v62787255","1.1.4","50302","","","","0"
"1993","Canada","2016A000011124","Chained (2012) dollars","Durable goods","Dollars","81","millions","6","v62787255","1.1.4","50847","","","","0"
"1994","Canada","2016A000011124","Chained (2012) dollars","Durable goods","Dollars","81","millions","6","v62787255","1.1.4","53072","","","","0"
"1995","Canada","2016A000011124","Chained (2012) dollars","Durable goods","Dollars","81","millions","6","v62787255","1.1.4","53502","","","","0"
"1996","Canada","2016A000011124","Chained (2012) dollars","Durable goods","Dollars","81","millions","6","v62787255","1.1.4","55904","","","","0"
"1997","Canada","2016A000011124","Chained (2012) dollars","Durable goods","Dollars","81","millions","6","v62787255","1.1.4","63168","","","","0"
"1998","Canada","2016A000011124","Chained (2012) dollars","Durable goods","Dollars","81","millions","6","v62787255","1.1.4","66022","","","","0"
"1999","Canada","2016A000011124","Chained (2012) dollars","Durable goods","Dollars","81","millions","6","v62787255","1.1.4","71270","","","","0"
"2000","Canada","2016A000011124","Chained (2012) dollars","Durable goods","Dollars","81","millions","6","v62787255","1.1.4","76366","","","","0"
"2001","Canada","2016A000011124","Chained (2012) dollars","Durable goods","Dollars","81","millions","6","v62787255","1.1.4","79175","","","","0"
"2002","Canada","2016A000011124","Chained (2012) dollars","Durable goods","Dollars","81","millions","6","v62787255","1.1.4","85976","","","","0"
"2003","Canada","2016A000011124","Chained (2012) dollars","Durable goods","Dollars","81","millions","6","v62787255","1.1.4","88855","","","","0"
"2004","Canada","2016A000011124","Chained (2012) dollars","Durable goods","Dollars","81","millions","6","v62787255","1.1.4","91162","","","","0"
"2005","Canada","2016A000011124","Chained (2012) dollars","Durable goods","Dollars","81","millions","6","v62787255","1.1.4","95501","","","","0"
"2006","Canada","2016A000011124","Chained (2012) dollars","Durable goods","Dollars","81","millions","6","v62787255","1.1.4","101954","","","","0"
"2007","Canada","2016A000011124","Chained (2012) dollars","Durable goods","Dollars","81","millions","6","v62787255","1.1.4","108537","","","","0"
"2008","Canada","2016A000011124","Chained (2012) dollars","Durable goods","Dollars","81","millions","6","v62787255","1.1.4","114301","","","","0"
"2009","Canada","2016A000011124","Chained (2012) dollars","Durable goods","Dollars","81","millions","6","v62787255","1.1.4","110928","","","","0"
"2010","Canada","2016A000011124","Chained (2012) dollars","Durable goods","Dollars","81","millions","6","v62787255","1.1.4","116318","","","","0"
"2011","Canada","2016A000011124","Chained (2012) dollars","Durable goods","Dollars","81","millions","6","v62787255","1.1.4","118179","","","","0"
"2012","Canada","2016A000011124","Chained (2012) dollars","Durable goods","Dollars","81","millions","6","v62787255","1.1.4","121511","","","","0"
"2013","Canada","2016A000011124","Chained (2012) dollars","Durable goods","Dollars","81","millions","6","v62787255","1.1.4","126765","","","","0"
"2014","Canada","2016A000011124","Chained (2012) dollars","Durable goods","Dollars","81","millions","6","v62787255","1.1.4","133372","","","","0"
